Habitat;Species;Interact;Model;Estimate;CI2.5;CI97.5;;;;
;Gregarious;Gregarious;GLM;0.1105;0.077434188;0.143496246;;;;
;Baboon;Baboon;GLM;0.0224;-0.003042331;0.047930456;;;;
;Buffalo;Buffalo;GLM;0.0733;0.052442394;0.094111998;;;;
;Warthog;Warthog;GLM;-0.0500;-0.070493588;-0.029452176;;;;
Gregarious;;Gregarious:Night;GLM;-0.0675;-0.102106013;-0.032881484;;;;
Gregarious;;Gregarious:Limestone Gorge;GLM;-0.0588;-0.110382396;-0.007281637;;;;
Night;Baboon;Night*Baboon;GLM;0.1388;0.116773989;0.160868234;;;;
Night;Buffalo;Night*Buffalo;GLM;-0.0334;-0.054327711;-0.012434181;;;;
Night;Elephant;Night*Elephant;GLM;0.0292;0.009297905;0.049048684;;;;
Night;Sable Antelope;Night*Sable Antelope;GLM;-0.0213;-0.040152177;-0.002344934;;;;
Limestone Gorge;Warthog;Limestone Gorge*Warthog;GLM;0.0298;0.01324309;0.046405161;;;;
Limestone Gorge;Baboon;Limestone Gorge*Baboon;GLM;0.1741;0.136004313;0.21228053;;;;
Limestone Gorge;Samango Monkey;Limestone Gorge*Samango Monkey;GLM;0.0217;-0.003785384;0.047110938;;;;
Miombo Woodland;Buffalo;Miombo Woodland*Buffalo;GLM;-0.1007;-0.165048465;-0.03641803;;;;
Mixed Savanna and Woodland;Buffalo;Mixed Savanna and Woodland*Buffalo;GLM;-0.0222;-0.034091062;-0.010199101;;;;
Mixed Savanna and Woodland;Baboon;Mixed Savanna and Woodland*Baboon;GLM;0.1125;0.085830194;0.139142852;;;;
Gregarious;;Gregarious*Night*Limestone Gorge;GLM;0.0311;0.000465617;0.061728921;;;;
Gregarious;;Gregarious*Night*Miombo Woodland;GLM;0.0655;0.036004554;0.095125374;;;;
Gregarious;;Gregarious*Night*Mixed Savanna and Woodland;GLM;0.0227;-0.002581387;0.047913863;;;;
